Date,Open,High,Low,Close,Volume
12-09-2018,,114.00,108.00,112.20,35300
13-09-2018,,118.90,113.50,117.10,94065
14-09-2018,,116.00,113.00,114.00,12375
17-09-2018,,115.50,111.00,112.20,11027
18-09-2018,,114.90,109.00,109.50,4600
19-09-2018,,110.00,107.20,109.00,11506
20-09-2018,,109.00,107.50,108.00,1499
21-09-2018,,108.00,106.00,106.30,7563
25-09-2018,,105.50,105.00,105.00,11832
26-09-2018,,109.90,106.90,109.00,7408
27-09-2018,,110.00,107.00,107.00,4149
28-09-2018,,112.00,107.00,109.90,51300
01-10-2018,,110.00,109.80,110.00,1630
02-10-2018,,111.90,106.00,106.00,3421
03-10-2018,,110.00,106.00,106.00,9
04-10-2018,,110.00,107.10,110.00,7970
05-10-2018,,109.80,107.00,107.10,2003
08-10-2018,,109.70,109.70,107.10,1
09-10-2018,,109.80,107.20,108.80,144
10-10-2018,,109.00,107.50,107.50,4919
11-10-2018,,109.70,107.60,107.50,22
12-10-2018,,108.00,106.00,107.00,2525
15-10-2018,,107.00,105.00,105.10,2000
16-10-2018,,108.00,104.10,104.20,855
17-10-2018,,106.10,105.00,106.00,405
18-10-2018,,106.00,105.00,105.10,1974
19-10-2018,,106.00,104.10,104.50,922
22-10-2018,,106.00,103.00,105.00,1079
23-10-2018,,105.00,105.00,105.00,6912
25-10-2018,,105.50,105.00,105.30,5086
26-10-2018,,110.00,105.00,109.20,12318
29-10-2018,,118.00,105.10,110.20,1420
30-10-2018,,113.80,107.00,107.20,1817
31-10-2018,,111.00,107.00,107.70,2800
01-11-2018,,112.40,110.00,110.10,3067
02-11-2018,,110.50,107.00,108.00,12290
05-11-2018,,108.00,107.00,107.00,14135
07-11-2018,,108.50,106.50,106.60,50330
08-11-2018,,108.80,106.70,106.70,760
09-11-2018,,108.00,106.50,107.80,2076
12-11-2018,,108.80,107.90,108.00,8083
13-11-2018,,108.50,107.00,107.10,1566
14-11-2018,,109.00,106.00,107.90,40512
15-11-2018,,108.00,106.00,108.00,3604
16-11-2018,,108.00,108.00,108.00,3607
19-11-2018,,108.00,108.00,108.00,1459
21-11-2018,,110.00,107.10,109.00,101324
23-11-2018,,108.00,108.00,108.00,1991
26-11-2018,,110.00,109.00,109.70,4010
27-11-2018,,114.00,110.00,111.50,13561
28-11-2018,,112.00,110.00,110.50,8428
29-11-2018,,113.90,111.00,112.60,15872
30-11-2018,,114.00,112.90,113.90,11972
03-12-2018,,114.00,113.50,114.00,7230
04-12-2018,,111.10,110.00,110.10,1600
05-12-2018,,113.30,112.80,110.10,22
06-12-2018,,113.00,112.80,113.00,1044
07-12-2018,,114.00,113.00,113.50,15856
10-12-2018,,114.00,113.00,113.00,822489
11-12-2018,,115.00,113.50,113.80,183
12-12-2018,,125.20,114.50,124.00,39987
13-12-2018,,129.00,125.00,127.30,147294
14-12-2018,,127.50,125.00,125.50,21996
17-12-2018,,127.40,125.00,125.10,50038
18-12-2018,,127.00,125.00,125.10,29676
19-12-2018,,127.60,125.10,126.40,5805
20-12-2018,,128.00,125.10,127.50,13524
21-12-2018,,127.80,126.00,126.00,4505
24-12-2018,,130.00,126.00,129.90,14284
26-12-2018,,135.00,130.00,134.30,7049
27-12-2018,,135.00,134.40,134.50,6616
28-12-2018,,135.00,133.10,133.30,879
31-12-2018,,134.00,132.00,132.00,2087
02-01-2019,132.00,133.00,130.00,131.10,5377
03-01-2019,133.00,133.00,130.00,130.00,1035
04-01-2019,132.50,132.50,131.80,131.90,751
07-01-2019,132.50,135.00,132.00,134.00,4206
08-01-2019,134.90,135.50,132.20,135.00,15406
09-01-2019,135.00,135.00,134.00,134.30,5139
10-01-2019,135.00,135.00,133.50,134.80,2056
11-01-2019,135.00,140.00,134.90,139.90,28319
14-01-2019,140.00,143.90,138.20,140.00,50956
16-01-2019,140.00,140.00,137.30,138.30,1644
17-01-2019,139.90,139.90,139.00,139.00,958
18-01-2019,139.50,139.50,138.10,138.10,5127
21-01-2019,139.50,140.00,136.00,136.50,62006
22-01-2019,136.50,137.00,136.50,137.00,5684
23-01-2019,138.00,138.00,136.30,136.50,8522
24-01-2019,138.00,138.00,135.00,136.80,13425
25-01-2019,135.00,136.00,132.00,136.00,8856
28-01-2019,137.00,137.00,136.00,136.00,3814
29-01-2019,138.00,139.90,135.00,138.00,11393
30-01-2019,138.00,139.80,137.00,137.20,993
31-01-2019,137.90,137.90,137.00,137.80,2373
01-02-2019,138.50,143.00,135.00,135.30,13376
05-02-2019,136.10,140.00,136.10,136.20,7404
06-02-2019,136.10,140.00,135.00,135.10,31282
07-02-2019,137.90,139.00,137.00,138.00,6535
08-02-2019,137.90,139.90,136.50,136.60,372
11-02-2019,136.80,138.80,136.00,136.30,3158
12-02-2019,138.90,139.70,130.00,131.60,150419
13-02-2019,130.00,134.80,130.00,132.50,3239
14-02-2019,137.60,139.90,133.50,133.50,17666
